Timestep,2020,2021,2022,2023,2024,2025,2026,2027,2028,2029,2030,2031,2032,2033,2034,2035,2036,2037,2038,2039,2040,2041,2042,2043,2044,2045,2046,2047,2048,2049,2050
35,2.5008591985131718e-08,2.6992727472129714e-08,0.0,0.0,0.0,2.405490095045666e-08,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0
36,2.4990592882327607e-08,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0
37,2.638406665950786e-08,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0
38,2.7258591581738226e-08,2.9421237880061083e-08,0.0,0.0,0.0,2.621909785794809e-08,2.2049236365776835e-08,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0
39,2.9635766213811643e-08,3.198701315582897e-08,3.309542606944594e-08,3.215623138901774e-08,3.15806376865882e-08,2.8505620040022994e-08,2.397211213828852e-08,2.3048619523757557e-08,2.264198199020527e-08,2.2372877549994353e-08,0.0,0.0,0.0,2.2526626103092476e-08,2.261228428096909e-08,2.268613000252321e-08,2.2772621215520237e-08,2.282659310845456e-08,2.2872089938788112e-08,2.2917868841319205e-08,2.2970279510608328e-08,0,0,0,0,0,0,0,0,0,0
40,3.389712364399265e-08,6.429607628153512e-08,6.652406177358998e-08,6.463621646206175e-08,6.347923389484648e-08,3.260447258471799e-08,2.7419086899819028e-08,2.6362804328508933e-08,2.58976959640528e-08,2.5589896718466716e-08,2.471302182103379e-08,2.4650774247291872e-08,2.5338760547841083e-08,2.5765752934798423e-08,2.586372799053529e-08,2.5948192064655746e-08,2.604711993849329e-08,2.610885250565204e-08,2.616089137220604e-08,2.6213252870410185e-08,2.6273199723963434e-08,0,0,0,0,0,0,0,0,0,0
41,8.648052601076831e-08,9.334173117954522e-08,9.657620573691469e-08,9.383552917049973e-08,9.215588148413781e-08,8.3190537788097e-08,6.995999027212116e-08,6.726487797011543e-08,6.6071870668447e-08,6.528659339998119e-08,6.304945365998213e-08,6.289064363891268e-08,6.464587861945484e-08,6.57352491104289e-08,6.598520938567366e-08,6.620069957403493e-08,6.645309074021325e-08,6.661058684330311e-08,6.674335175279393e-08,6.687693978093946e-08,6.702988005641605e-08,0,0,0,0,0,0,0,0,0,0
42,8.108362097244114e-08,8.75166456657691e-08,9.054926955408924e-08,8.79796276916939e-08,8.640480012471945e-08,7.79994412156405e-08,6.742966495928137e-08,6.483202995611727e-08,3.52542391145028e-08,3.4835235500504965e-08,3.364155567081993e-08,3.3556818756306714e-08,3.4493366686312926e-08,3.507462656868861e-08,3.520799889829655e-08,3.5322978882221036e-08,3.5457648272277946e-08,3.5541684114184005e-08,6.258450902504582e-08,6.270977305409966e-08,6.285318347325735e-08,0,0,0,0,0,0,0,0,0,0
43,7.676649531188943e-08,8.285700723080676e-08,8.572816548340354e-08,8.329533875937436e-08,8.180435955066008e-08,7.38469471361263e-08,3.533818666573595e-08,3.397683167922229e-08,3.337381852601483e-08,3.297716408312953e-08,3.184715376338662e-08,3.176693661848572e-08,3.2653530158497326e-08,3.320378630692398e-08,3.333004470978641e-08,3.343889179354154e-08,3.3566378073139607e-08,3.36459315398403e-08,3.371299293754468e-08,3.378047010390113e-08,3.385772235886887e-08,0,0,0,0,0,0,0,0,0,0
44,6.873656482729915e-08,7.418999689613638e-08,7.701787768310904e-08,7.483223484333834e-08,7.349274444741885e-08,6.633673042664132e-08,3.174430160653794e-08,3.052139609375011e-08,2.998291936566052e-08,2.9626566430865515e-08,2.861136919555947e-08,2.8539302399084495e-08,2.9335814868868615e-08,2.983016302731729e-08,2.994359312550369e-08,3.004138095679047e-08,3.015591417505069e-08,3.0227384725400995e-08,3.0287632445581756e-08,3.034825369083459e-08,3.041765684078302e-08,0,0,0,0,0,0,0,0,0,0
45,3.170201930258104e-08,3.4217198947446425e-08,6.221610755478354e-08,3.4398215346894165e-08,3.3782490329588515e-08,3.173141816326285e-08,2.6684882260012356e-08,2.565688391157358e-08,2.520422981740166e-08,2.4904672554309883e-08,2.4051277855928726e-08,2.3990697093981987e-08,2.4660261091270984e-08,2.5075819844686422e-08,2.517117140895655e-08,2.52533737770128e-08,2.5349652645643026e-08,2.5409732191408295e-08,2.5460377606115636e-08,2.5511337013321295e-08,2.5569678661778504e-08,0,0,0,0,0,0,0,0,0,0
