"1.  PG&E does not warrant or guarantee the accuracy of the information shown on this document.
2.  The information shown on this document is intended to be a guide and is subject to change at any time without prior notice.
3.  A customer’s actual sublap will be determined by PG&E.  This assignment is subject to change at any time without prior notice.
4.  Updated 2/3/2017.",
95609,SLAP_PGEB
95610,SLAP_PGF1
95610,SLAP_PGSI
95612,SLAP_PGSI
95613,SLAP_PGEB
95613,SLAP_PGSI
95614,SLAP_PGSI
95615,SLAP_PGNP
95615,SLAP_PGSI
95616,SLAP_PGNP
95616,SLAP_PGSI
95617,SLAP_PGSI
95618,SLAP_PGSI
95619,SLAP_PGSI
95620,SLAP_PGNP
95620,SLAP_PGSI
95623,SLAP_PGSI
95625,SLAP_PGNP
95626,SLAP_PGSI
95627,SLAP_PGNP
95628,SLAP_PGSI
95629,SLAP_PGNP
95629,SLAP_PGSI
95630,SLAP_PGNP
95630,SLAP_PGSI
95631,SLAP_PGSI
95632,SLAP_PGST
95633,SLAP_PGSI
95634,SLAP_PGSI
95635,SLAP_PGSI
95636,SLAP_PGSI
95637,SLAP_PGNP
95639,SLAP_PGNP
95640,SLAP_PGNP
95641,SLAP_PGSI
95642,SLAP_PGNP
95643,SLAP_PGSI
95645,SLAP_PGNP
95645,SLAP_PGSI
95648,SLAP_PGSI
95650,SLAP_PGSI
95651,SLAP_PGSI
95652,SLAP_PGNP
95653,SLAP_PGNP
95654,SLAP_PGNP
95656,SLAP_PGSI
95658,SLAP_PGSI
95659,SLAP_PGSI
95660,SLAP_PGNP
95660,SLAP_PGSI
95661,SLAP_PGSI
95663,SLAP_PGSI
95664,SLAP_PGSI
95665,SLAP_PGNP
95666,SLAP_PGNP
95667,SLAP_PGSI
95668,SLAP_PGSI
95669,SLAP_PGSI
95672,SLAP_PGSI
95674,SLAP_PGSI
95675,SLAP_PGSI
95676,SLAP_PGNP
95676,SLAP_PGSI
95677,SLAP_PGSI
95678,SLAP_PGSI
95679,SLAP_PGNP
95680,SLAP_PGNP
95680,SLAP_PGSI
95681,SLAP_PGSI
95682,SLAP_PGSI
95684,SLAP_PGSI
95685,SLAP_PGNP
95685,SLAP_PGSI
95686,SLAP_PGST
95687,SLAP_PGNP
95688,SLAP_PGNP
95689,SLAP_PGNP
95690,SLAP_PGSI
95690,SLAP_PGST
95691,SLAP_PGSI
95692,SLAP_PGSI
95693,SLAP_PGSI
95694,SLAP_PGNP
95695,SLAP_PGNP
95695,SLAP_PGSI
95696,SLAP_PGNP
95696,SLAP_PGSI
95697,SLAP_PGSI
95698,SLAP_PGNP
95698,SLAP_PGSI
95699,SLAP_PGSI
95701,SLAP_PGSI
95703,SLAP_PGSI
95709,SLAP_PGSI
95712,SLAP_PGSI
95713,SLAP_PGSI
95714,SLAP_PGSI
95715,SLAP_PGSI
95717,SLAP_PGSI
95720,SLAP_PGSI
95721,SLAP_PGSI
95722,SLAP_PGSI
95724,SLAP_PGSI
95726,SLAP_PGSI
95728,SLAP_PGSI
95735,SLAP_PGSI
95736,SLAP_PGSI
95746,SLAP_PGSI
95747,SLAP_PGSI
95762,SLAP_PGSI
95765,SLAP_PGSI
95766,SLAP_PGSI
95775,SLAP_PGSI
95776,SLAP_PGSI
95778,SLAP_PGSI
95798,SLAP_PGSI
95812,SLAP_PGSI
95815,SLAP_PGSI
95816,SLAP_PGNP
95816,SLAP_PGSI
95817,SLAP_PGNP
95821,SLAP_PGSI
95822,SLAP_PGSI
95823,SLAP_PGSI
95826,SLAP_PGSI
95828,SLAP_PGSI
95831,SLAP_PGSI
95831,SLAP_PGST
95833,SLAP_PGNP
95834,SLAP_PGSI
95836,SLAP_PGSI
95837,SLAP_PGSI
95853,SLAP_PGNP
95869,SLAP_PGSI
95901,SLAP_PGSI
95903,SLAP_PGSB
95903,SLAP_PGSI
95910,SLAP_PGSI
95912,SLAP_PGNP
95913,SLAP_PGNP
95914,SLAP_PGSI
95915,SLAP_PGNP
95915,SLAP_PGSI
95916,SLAP_PGSI
95917,SLAP_PGSI
95918,SLAP_PGSI
95919,SLAP_PGSI
95920,SLAP_PGNP
95922,SLAP_PGSI
95923,SLAP_PGNP
95924,SLAP_PGSI
95925,SLAP_PGSI
95926,SLAP_PGNP
95927,SLAP_PGNP
95928,SLAP_PGNP
95929,SLAP_PGNP
95930,SLAP_PGSI
95931,SLAP_PGNP
95932,SLAP_PGNP
95934,SLAP_PGNP
95935,SLAP_PGSI
95936,SLAP_PGSI
95937,SLAP_PGNP
95938,SLAP_PGNP
95939,SLAP_PGNP
95940,SLAP_PGNC
95940,SLAP_PGSI
95941,SLAP_PGSI
95942,SLAP_PGNP
95943,SLAP_PGNP
95944,SLAP_PGSI
95945,SLAP_PGSI
95946,SLAP_PGSI
95947,SLAP_PGNP
95948,SLAP_PGSI
95949,SLAP_PGSI
95950,SLAP_PGNP
95951,SLAP_PGNP
95953,SLAP_PGSI
95954,SLAP_PGNP
95955,SLAP_PGNP
95956,SLAP_PGNP
95957,SLAP_PGNP
95958,SLAP_PGNP
95959,SLAP_PGSI
95960,SLAP_PGSI
95961,SLAP_PGSI
95962,SLAP_PGSI
95963,SLAP_PGNP
95964,SLAP_PGNP
95965,SLAP_PGNP
95965,SLAP_PGSI
95966,SLAP_PGSI
95967,SLAP_PGNP
95967,SLAP_PGSI
95968,SLAP_PGSI
95969,SLAP_PGNP
95970,SLAP_PGNP
95971,SLAP_PGNP
95971,SLAP_PGSI
95972,SLAP_PGSI
95973,SLAP_PGNP
95974,SLAP_PGSI
95975,SLAP_PGSI
95976,SLAP_PGNP
95977,SLAP_PGSI
95978,SLAP_PGNP
95979,SLAP_PGNP
95980,SLAP_PGSI
95981,SLAP_PGSI
95982,SLAP_PGNP
95982,SLAP_PGSI
95983,SLAP_PGNP
95984,SLAP_PGNP
95984,SLAP_PGSI
95986,SLAP_PGSI
95987,SLAP_PGNP
95988,SLAP_PGNP
95989,SLAP_PGNP
95991,SLAP_PGSI
95992,SLAP_PGSI
95993,SLAP_PGSI
95997,SLAP_PGSI
96001,SLAP_PGNP
96002,SLAP_PGNP
96003,SLAP_PGNP
96007,SLAP_PGNP
96008,SLAP_PGNP
96009,SLAP_PGNP
96010,SLAP_PGHB
96011,SLAP_PGNP
96013,SLAP_PGNP
96016,SLAP_PGNP
96019,SLAP_PGNP
96020,SLAP_PGNP
96021,SLAP_PGNP
96022,SLAP_PGNP
96028,SLAP_PGNP
96029,SLAP_PGNP
96033,SLAP_PGNP
96035,SLAP_PGNP
96040,SLAP_PGNP
96047,SLAP_PGNP
96049,SLAP_PGNP
96050,SLAP_PGNP
96051,SLAP_PGNP
96055,SLAP_PGNP
96056,SLAP_PGNP
96059,SLAP_PGNP
96061,SLAP_PGNP
96062,SLAP_PGNP
96063,SLAP_PGNP
96065,SLAP_PGNP
96068,SLAP_PGNP
96069,SLAP_PGNP
96071,SLAP_PGNP
96073,SLAP_PGNP
96074,SLAP_PGNP
96075,SLAP_PGNP
96076,SLAP_PGHB
96078,SLAP_PGNP
96080,SLAP_PGNP
96084,SLAP_PGNP
96087,SLAP_PGNP
96088,SLAP_PGNP
96090,SLAP_PGNP
96092,SLAP_PGNP
96095,SLAP_PGNP
96096,SLAP_PGNP
96124,SLAP_PGSI
96125,SLAP_PGSI
96130,SLAP_PGNP
96137,SLAP_PGNP
96161,SLAP_PGSI
